Stock Price,Equity,Portfolio,Buy Threshold,Sell Threshold
100,1000,0,95,105
100.048,1000,0,95,105
100.998,1000,0,95,105
101.83,1000,0,95,105
102.803,1000,0,95,105
103.33,1000,0,95,105
104.311,1000,0,95,105
103.606,1000,0,95,105
104.101,1000,0,95,105
103.186,1000,0,95,105
103.105,1000,0,95,105
102.543,1000,0,95,105
101.661,1000,0,95,105
100.663,1000,0,95,105
101.413,1000,0,95,105
101.643,1000,0,95,105
100.994,1000,0,95,105
100.416,1000,0,95,105
99.8228,1000,0,95,105
100.011,1000,0,95,105
99.7885,1000,0,95,105
99.1562,1000,0,95,105
99.6545,1000,0,95,105
100.491,1000,0,95,105
101.257,1000,0,95,105
101.928,1000,0,95,105
102.442,1000,0,95,105
101.915,1000,0,95,105
101.162,1000,0,95,105
100.307,1000,0,95,105
99.5852,1000,0,95,105
99.8727,1000,0,95,105
99.5007,1000,0,95,105
100.246,1000,0,95,105
101.24,1000,0,95,105
100.569,1000,0,95,105
100.729,1000,0,95,105
100.635,1000,0,95,105
100.847,1000,0,95,105
100.132,1000,0,95,105
100.608,1000,0,95,105
101.03,1000,0,95,105
100.486,1000,0,95,105
101.141,1000,0,95,105
102.139,1000,0,95,105
102.926,1000,0,95,105
103.009,1000,0,95.666,105.736
102.236,1000,0,95.666,105.736
102.286,1000,0,95.666,105.736
103.125,1000,0,95.666,105.736
103.632,1000,0,95.666,105.736
104.016,1000,0,95.666,105.736
104.981,1000,0,95.666,105.736
104.027,1000,0,95.666,105.736
104.972,1000,0,95.666,105.736
105.111,1000,0,95.666,105.736
105.829,1000,0,95.666,105.736
106.712,1000,0,95.666,105.736
106.763,1000,0,95.666,105.736
107.732,1000,0,95.666,105.736
108.763,1000,0,95.666,105.736
109.784,1000,0,97.7011,107.985
110.759,1000,0,97.7011,107.985
111.431,1000,0,97.7011,107.985
111.155,1000,0,97.7011,107.985
112.084,1000,0,97.7011,107.985
111.853,1000,0,97.7011,107.985
111.767,1000,0,97.7011,107.985
111.548,1000,0,97.7011,107.985
110.678,1000,0,97.7011,107.985
110.474,1000,0,97.7011,107.985
110.039,1000,0,97.7011,107.985
109.717,1000,0,97.7011,107.985
109.834,1000,0,97.7011,107.985
109.653,1000,0,97.7011,107.985
108.911,1000,0,97.7011,107.985
108.196,1000,0,102.375,113.151
108.172,1000,0,102.375,113.151
107.637,1000,0,102.375,113.151
106.96,1000,0,102.375,113.151
106.362,1000,0,102.375,113.151
106.423,1000,0,102.375,113.151
106.995,1000,0,102.375,113.151
107.963,1000,0,102.375,113.151
108.741,1000,0,102.375,113.151
107.746,1000,0,102.375,113.151
108.195,1000,0,102.375,113.151
108.494,1000,0,102.375,113.151
108.296,1000,0,102.375,113.151
108.245,1000,0,102.375,113.151
107.178,1000,0,102.375,113.151
107.813,1000,0,103.718,114.635
107.597,1000,0,103.718,114.635
107.031,1000,0,103.718,114.635
106.985,1000,0,103.718,114.635
107.482,1000,0,103.718,114.635
107.637,1000,0,103.718,114.635
107.539,1000,0,103.718,114.635
108.385,1000,0,103.718,114.635
108.376,1000,0,103.718,114.635
108.703,1000,0,103.718,114.635
108.686,1000,0,103.718,114.635
108.684,1000,0,103.718,114.635
109.164,1000,0,103.718,114.635
109.729,1000,0,103.718,114.635
110.396,1000,0,103.718,114.635
110.649,1000,0,102.594,113.393
109.59,1000,0,102.594,113.393
109.694,1000,0,102.594,113.393
108.999,1000,0,102.594,113.393
108.02,1000,0,102.594,113.393
107.454,1000,0,102.594,113.393
107.372,1000,0,102.594,113.393
108.305,1000,0,102.594,113.393
107.623,1000,0,102.594,113.393
106.833,1000,0,102.594,113.393
107.035,1000,0,102.594,113.393
106.564,1000,0,102.594,113.393
106.998,1000,0,102.594,113.393
106.846,1000,0,102.594,113.393
106.4,1000,0,102.594,113.393
105.34,1000,0,102.682,113.491
105.418,1000,0,102.682,113.491
106.463,1000,0,102.682,113.491
105.755,1000,0,102.682,113.491
106.574,1000,0,102.682,113.491
107.457,1000,0,102.682,113.491
106.678,1000,0,102.682,113.491
106.792,1000,0,102.682,113.491
107.223,1000,0,102.682,113.491
107.636,1000,0,102.682,113.491
107.183,1000,0,102.682,113.491
107.446,1000,0,102.682,113.491
106.545,1000,0,102.682,113.491
106.792,1000,0,102.682,113.491
106.381,1000,0,102.682,113.491
107.168,1000,0,101.905,112.632
108.113,1000,0,101.905,112.632
108.407,1000,0,101.905,112.632
107.936,1000,0,101.905,112.632
107.527,1000,0,101.905,112.632
107.779,1000,0,101.905,112.632
107.602,1000,0,101.905,112.632
108.555,1000,0,101.905,112.632
108.733,1000,0,101.905,112.632
108.02,1000,0,101.905,112.632
107.093,1000,0,101.905,112.632
106.844,1000,0,101.905,112.632
107.68,1000,0,101.905,112.632
108.756,1000,0,101.905,112.632
108.647,1000,0,101.905,112.632
108.785,1000,0,101.92,112.649
108.275,1000,0,101.92,112.649
108.823,1000,0,101.92,112.649
108.9,1000,0,101.92,112.649
108.58,1000,0,101.92,112.649
108.495,1000,0,101.92,112.649
108.187,1000,0,101.92,112.649
108.145,1000,0,101.92,112.649
108.823,1000,0,101.92,112.649
108.495,1000,0,101.92,112.649
108.695,1000,0,101.92,112.649
107.663,1000,0,101.92,112.649
108.283,1000,0,101.92,112.649
108.661,1000,0,101.92,112.649
109.326,1000,0,101.92,112.649
108.746,1000,0,102.821,113.645
108.293,1000,0,102.821,113.645
107.4,1000,0,102.821,113.645
106.66,1000,0,102.821,113.645
107.693,1000,0,102.821,113.645
107.228,1000,0,102.821,113.645
106.861,1000,0,102.821,113.645
107.133,1000,0,102.821,113.645
107.252,1000,0,102.821,113.645
108.312,1000,0,102.821,113.645
109.096,1000,0,102.821,113.645
108.628,1000,0,102.821,113.645
107.939,1000,0,102.821,113.645
108.822,1000,0,102.821,113.645
109.513,1000,0,102.821,113.645
108.427,1000,0,102.844,113.67
107.84,1000,0,102.844,113.67
107.056,1000,0,102.844,113.67
106.537,1000,0,102.844,113.67
107.55,1000,0,102.844,113.67
108.512,1000,0,102.844,113.67
109.094,1000,0,102.844,113.67
109.426,1000,0,102.844,113.67
108.819,1000,0,102.844,113.67
109.544,1000,0,102.844,113.67
109.426,1000,0,102.844,113.67
108.955,1000,0,102.844,113.67
108.484,1000,0,102.844,113.67
108.08,1000,0,102.844,113.67
109.155,1000,0,102.844,113.67
108.91,1000,0,102.805,113.627
108.302,1000,0,102.805,113.627
107.599,1000,0,102.805,113.627
108.479,1000,0,102.805,113.627
108.526,1000,0,102.805,113.627
109.028,1000,0,102.805,113.627
109.015,1000,0,102.805,113.627
107.976,1000,0,102.805,113.627
107.094,1000,0,102.805,113.627
107.677,1000,0,102.805,113.627
108.056,1000,0,102.805,113.627
108.425,1000,0,102.805,113.627
108.208,1000,0,102.805,113.627
107.66,1000,0,102.805,113.627
107.508,1000,0,102.805,113.627
107.528,1000,0,102.897,113.728
108.049,1000,0,102.897,113.728
108.688,1000,0,102.897,113.728
107.949,1000,0,102.897,113.728
107.882,1000,0,102.897,113.728
108.831,1000,0,102.897,113.728
107.979,1000,0,102.897,113.728
107.871,1000,0,102.897,113.728
107.564,1000,0,102.897,113.728
108.154,1000,0,102.897,113.728
107.355,1000,0,102.897,113.728
107.225,1000,0,102.897,113.728
107.889,1000,0,102.897,113.728
107.271,1000,0,102.897,113.728
107.69,1000,0,102.897,113.728
107.918,1000,0,102.612,113.414
108.909,1000,0,102.612,113.414
108.871,1000,0,102.612,113.414
108.977,1000,0,102.612,113.414
109.928,1000,0,102.612,113.414
109.293,1000,0,102.612,113.414
108.244,1000,0,102.612,113.414
109.04,1000,0,102.612,113.414
108.18,1000,0,102.612,113.414
107.425,1000,0,102.612,113.414
107.742,1000,0,102.612,113.414
107.726,1000,0,102.612,113.414
108.185,1000,0,102.612,113.414
107.207,1000,0,102.612,113.414
106.897,1000,0,102.612,113.414
106.774,1000,0,102.678,113.486
106.836,1000,0,102.678,113.486
106.276,1000,0,102.678,113.486
105.322,1000,0,102.678,113.486
105.256,1000,0,102.678,113.486
105.463,1000,0,102.678,113.486
105.219,1000,0,102.678,113.486
105.06,1000,0,102.678,113.486
104.999,1000,0,102.678,113.486
104.803,1000,0,102.678,113.486
105.219,1000,0,102.678,113.486
105.957,1000,0,102.678,113.486
106.647,1000,0,102.678,113.486
106.376,1000,0,102.678,113.486
107.359,1000,0,102.678,113.486
106.96,1000,0,101.717,112.424
106.184,1000,0,101.717,112.424
107.162,1000,0,101.717,112.424
107.61,1000,0,101.717,112.424
108.254,1000,0,101.717,112.424
108.727,1000,0,101.717,112.424
109.623,1000,0,101.717,112.424
110.09,1000,0,101.717,112.424
110.614,1000,0,101.717,112.424
111.209,1000,0,101.717,112.424
111.834,1000,0,101.717,112.424
112.438,1000,0,101.717,112.424
113.052,1000,0,101.717,112.424
112.659,1000,0,101.717,112.424
113.778,1000,0,101.717,112.424
114.47,1000,0,102.529,113.322
114.549,1000,0,102.529,113.322
114.313,1000,0,102.529,113.322
115.188,1000,0,102.529,113.322
115.008,1000,0,102.529,113.322
114.764,1000,0,102.529,113.322
114.682,1000,0,102.529,113.322
113.641,1000,0,102.529,113.322
113.226,1000,0,102.529,113.322
112.753,1000,0,102.529,113.322
112.498,1000,0,102.529,113.322
111.499,1000,0,102.529,113.322
111.934,1000,0,102.529,113.322
111.704,1000,0,102.529,113.322
112.253,1000,0,102.529,113.322
111.384,1000,0,106.168,117.344
110.952,1000,0,106.168,117.344
111.803,1000,0,106.168,117.344
112.815,1000,0,106.168,117.344
113.338,1000,0,106.168,117.344
114.035,1000,0,106.168,117.344
114.429,1000,0,106.168,117.344
114.888,1000,0,106.168,117.344
113.937,1000,0,106.168,117.344
114.135,1000,0,106.168,117.344
113.57,1000,0,106.168,117.344
112.599,1000,0,106.168,117.344
111.519,1000,0,106.168,117.344
111.564,1000,0,106.168,117.344
111.934,1000,0,106.168,117.344
111.653,1000,0,107.52,118.838
110.96,1000,0,107.52,118.838
111.795,1000,0,107.52,118.838
112.399,1000,0,107.52,118.838
112.21,1000,0,107.52,118.838
113.098,1000,0,107.52,118.838
113.816,1000,0,107.52,118.838
114.536,1000,0,107.52,118.838
114.518,1000,0,107.52,118.838
113.733,1000,0,107.52,118.838
112.689,1000,0,107.52,118.838
111.728,1000,0,107.52,118.838
112.462,1000,0,107.52,118.838
111.73,1000,0,107.52,118.838
112.182,1000,0,107.52,118.838
111.179,1000,0,107.11,118.384
110.397,1000,0,107.11,118.384
109.492,1000,0,107.11,118.384
110.317,1000,0,107.11,118.384
110.737,1000,0,107.11,118.384
111.204,1000,0,107.11,118.384
111.524,1000,0,107.11,118.384
110.609,1000,0,107.11,118.384
111.501,1000,0,107.11,118.384
112.121,1000,0,107.11,118.384
111.584,1000,0,107.11,118.384
111.085,1000,0,107.11,118.384
112.15,1000,0,107.11,118.384
111.296,1000,0,107.11,118.384
112.137,1000,0,107.11,118.384
111.561,1000,0,106.3,117.489
110.888,1000,0,106.3,117.489
111.728,1000,0,106.3,117.489
111.817,1000,0,106.3,117.489
110.71,1000,0,106.3,117.489
